tower_id,region,avg_signal_strength,min_signal_strength,max_signal_strength,stddev_signal_strength,total_data_volume_mb,avg_data_volume_mb,reading_count,execution_date
101,Central,-83.6667,-87.5,-76.6,6.1273,298.8,99.6,3,2025-07-23
101,East,-80.2,-89.7,-70.7,13.435,302.3,151.15,2,2025-07-23
101,North,-71.8,-71.8,-71.8,,219.7,219.7,1,2025-07-23
101,West,-79.5,-79.5,-79.5,,162.6,162.6,1,2025-07-23
102,Central,-84.3,-89.0,-76.2,4.9835,814.9,162.98,5,2025-07-23
102,East,-81.3333,-94.5,-74.0,11.4273,539.1,179.7,3,2025-07-23
102,North,-78.3,-84.9,-71.4,4.648,927.6,154.6,6,2025-07-23
102,South,-81.2,-90.2,-72.2,12.7279,320.7,160.35,2,2025-07-23
102,West,-79.18,-88.1,-73.2,7.0404,928.0,185.6,5,2025-07-23
103,Central,-82.5,-94.1,-70.9,16.4049,226.9,113.45,2,2025-07-23
103,East,-83.725,-92.1,-73.0,8.3096,560.7,140.175,4,2025-07-23
103,North,-76.4,-80.1,-71.0,4.7823,479.4,159.8,3,2025-07-23
103,South,-76.85,-78.5,-75.2,2.3335,373.8,186.9,2,2025-07-23
103,West,-88.3667,-91.8,-82.9,4.7857,346.9,115.6333,3,2025-07-23
104,Central,-83.1,-91.7,-76.1,6.6813,738.8,184.7,4,2025-07-23
104,East,-72.15,-73.9,-70.4,2.4749,426.3,213.15,2,2025-07-23
104,North,-83.275,-93.2,-72.4,11.1634,664.5,166.125,4,2025-07-23
104,South,-79.34,-85.7,-70.6,6.4256,595.9,119.18,5,2025-07-23
104,West,-92.0,-92.0,-92.0,,228.1,228.1,1,2025-07-23
105,Central,-76.0667,-84.3,-70.4,7.2968,430.4,143.4667,3,2025-07-23
105,East,-79.0,-79.0,-79.0,,129.9,129.9,1,2025-07-23
105,North,-77.9,-79.8,-76.0,2.687,166.1,83.05,2,2025-07-23
105,South,-83.85,-89.4,-78.3,7.8489,294.8,147.4,2,2025-07-23
105,West,-79.8,-91.7,-70.1,10.9668,555.2,185.0667,3,2025-07-23
106,Central,-89.3,-90.2,-88.4,1.2728,122.6,61.3,2,2025-07-23
106,East,-90.05,-91.1,-89.0,1.4849,314.9,157.45,2,2025-07-23
106,North,-91.55,-93.7,-87.7,2.6502,540.4,135.1,4,2025-07-23
106,South,-78.26,-85.7,-70.1,5.5446,621.7,124.34,5,2025-07-23
107,Central,-78.6,-80.9,-76.3,3.2527,348.5,174.25,2,2025-07-23
107,East,-82.6333,-88.1,-71.8,9.3821,364.0,121.3333,3,2025-07-23
107,North,-90.7,-90.9,-90.5,0.2828,285.3,142.65,2,2025-07-23
107,South,-88.3,-88.3,-88.3,,207.5,207.5,1,2025-07-23
107,West,-83.3,-83.3,-83.3,,195.8,195.8,1,2025-07-23
108,Central,-84.3333,-91.9,-77.4,7.2707,496.3,165.4333,3,2025-07-23
108,East,-72.1,-72.4,-71.8,0.4243,456.3,228.15,2,2025-07-23
108,North,-76.1,-76.1,-76.1,,222.2,222.2,1,2025-07-23
108,South,-84.7,-90.3,-75.4,8.1099,404.3,134.7667,3,2025-07-23
