region,event_hour,total_data_volume_mb,avg_signal_strength,tower_count,record_count,execution_date
Central,0,354.8,-79.83,2,3,2025-07-23
Central,1,139.8,-84.5,1,1,2025-07-23
Central,2,532.8,-89.55,3,4,2025-07-23
Central,5,166.7,-84.3,1,1,2025-07-23
Central,6,52.3,-73.5,1,1,2025-07-23
Central,7,203.7,-76.2,1,1,2025-07-23
Central,8,53.9,-86.9,1,1,2025-07-23
Central,9,188.0,-76.1,1,1,2025-07-23
Central,10,99.6,-83.7,1,1,2025-07-23
Central,11,420.9,-90.35,2,2,2025-07-23
Central,15,62.2,-76.6,1,1,2025-07-23
Central,16,287.2,-80.5,2,2,2025-07-23
Central,18,394.1,-78.95,2,2,2025-07-23
Central,20,162.2,-77.4,1,1,2025-07-23
Central,21,123.8,-94.1,1,1,2025-07-23
Central,22,235.2,-76.3,1,1,2025-07-23
East,0,129.9,-79.0,1,1,2025-07-23
East,1,93.1,-88.1,1,1,2025-07-23
East,3,221.1,-70.4,1,1,2025-07-23
East,4,205.2,-73.9,1,1,2025-07-23
East,7,353.9,-72.35,2,2,2025-07-23
East,8,98.2,-89.0,1,1,2025-07-23
East,9,171.3,-81.8,1,1,2025-07-23
East,10,160.8,-94.5,1,1,2025-07-23
East,14,207.0,-71.8,1,1,2025-07-23
East,17,237.1,-71.8,1,1,2025-07-23
East,18,442.6,-82.05,2,2,2025-07-23
East,19,382.7,-84.17,2,3,2025-07-23
East,21,326.7,-82.6,2,2,2025-07-23
East,23,63.9,-88.0,1,1,2025-07-23
North,0,571.5,-82.23,3,3,2025-07-23
North,1,151.2,-84.35,2,2,2025-07-23
North,3,84.2,-79.8,1,1,2025-07-23
North,4,130.2,-74.9,1,1,2025-07-23
North,6,222.2,-76.1,1,1,2025-07-23
North,7,81.6,-87.7,1,1,2025-07-23
North,8,213.2,-76.7,1,1,2025-07-23
North,10,398.1,-82.8,1,2,2025-07-23
North,11,136.2,-92.6,1,1,2025-07-23
North,12,117.9,-84.9,1,1,2025-07-23
North,13,377.8,-75.25,2,2,2025-07-23
North,14,50.4,-90.9,1,1,2025-07-23
North,15,396.4,-81.6,2,3,2025-07-23
North,17,151.2,-81.6,1,1,2025-07-23
North,20,188.2,-71.4,1,1,2025-07-23
North,22,234.9,-90.5,1,1,2025-07-23
South,0,55.3,-82.4,1,1,2025-07-23
South,3,91.9,-85.7,1,1,2025-07-23
South,4,267.4,-77.8,2,2,2025-07-23
South,5,306.1,-79.03,2,3,2025-07-23
South,6,134.4,-75.2,1,1,2025-07-23
South,8,82.3,-85.7,1,1,2025-07-23
South,9,239.4,-78.5,1,1,2025-07-23
South,11,211.5,-75.4,1,1,2025-07-23
South,12,157.3,-90.2,1,1,2025-07-23
South,14,93.5,-90.3,1,1,2025-07-23
South,16,112.8,-78.3,1,1,2025-07-23
South,19,220.6,-77.8,1,1,2025-07-23
South,20,102.4,-79.1,1,1,2025-07-23
South,22,419.7,-79.45,2,2,2025-07-23
South,23,324.1,-82.0,2,2,2025-07-23
West,3,177.1,-88.1,1,1,2025-07-23
West,6,249.2,-85.5,1,1,2025-07-23
West,9,180.0,-70.1,1,1,2025-07-23
West,12,338.3,-86.85,2,2,2025-07-23
West,13,313.9,-78.85,2,2,2025-07-23
West,14,196.1,-77.6,1,1,2025-07-23
West,16,228.1,-92.0,1,1,2025-07-23
West,17,341.7,-85.6,2,2,2025-07-23
West,20,58.8,-74.3,1,1,2025-07-23
West,21,111.7,-91.8,1,1,2025-07-23
West,23,221.7,-73.2,1,1,2025-07-23
