tower_id,region,timestamp,signal_strength,data_volume_mb,event_datetime,event_date,event_hour,_execution_date
102,North,1753228800,-76.5,99.0,2025-07-23 00:00:00+00:00,2025-07-23,0,2025-07-23
103,North,1753229700,-78.1,228.4,2025-07-23 00:15:00+00:00,2025-07-23,0,2025-07-23
102,Central,1753230600,-84.5,56.0,2025-07-23 00:30:00+00:00,2025-07-23,0,2025-07-23
104,South,1753231500,-82.4,55.3,2025-07-23 00:45:00+00:00,2025-07-23,0,2025-07-23
104,Central,1753232400,-84.5,139.8,2025-07-23 01:00:00+00:00,2025-07-23,1,2025-07-23
105,North,1753233300,-76.0,81.9,2025-07-23 01:15:00+00:00,2025-07-23,1,2025-07-23
107,East,1753234200,-88.1,93.1,2025-07-23 01:30:00+00:00,2025-07-23,1,2025-07-23
106,North,1753235100,-92.7,69.3,2025-07-23 01:45:00+00:00,2025-07-23,1,2025-07-23
106,Central,1753236000,-88.4,58.7,2025-07-23 02:00:00+00:00,2025-07-23,2,2025-07-23
108,Central,1753236900,-91.9,234.5,2025-07-23 02:15:00+00:00,2025-07-23,2,2025-07-23
